numPlayed,heuristicList,remainingTime
12,24.0;23.0;21.0;21.0;19.0;20.0;19.0;20.0;19.0;17.0;18.0;16.0;2.147483647E9,230.0;141.11111111111111;187.27272727272725;160.0;208.33333333333331;225.6521739130435;295.8490566037736;324.7058823529412;286.63366336633663;306.45161290322574;279.2307692307692;999880.0
5,27.0;26.0;25.0;24.0;24.0;24.0,260.0;250.0;240.0;295.0;372.72727272727275
3,23.0;21.0;21.0;21.0,105.0;206.66666666666666;343.3333333333333
2,26.0;25.0;25.0,250.0;496.66666666666663
2,20.0;19.0;20.0,190.0;999980.0
1,24.0;24.0,999990.0
1,20.0;20.0,999990.0
1,24.0;24.0,999990.0
1,19.0;20.0,999990.0
1,21.0;21.0,999990.0
1,19.0;20.0,999990.0
