numPlayed,heuristicList,remainingTime
24,24.0;20.0;20.0;18.0;16.0;14.0;12.0;10.0;10.0;11.0;10.0;10.0;9.0;8.0;8.0;8.0;9.0;9.0;9.0;9.0;8.0;9.0;9.0;9.0;2.147483647E9,500.0;966.6666666666665;988.8888888888889;888.8888888888891;770.8333333333335;653.8461538461538;540.506329113924;505.66037735849045;545.1361867704279;557.6923076923078;586.4668483197095;587.0967741935483;564.0077821011671;557.0145903479238;561.572700296736;611.3821138211379;666.999168744805;728.1755196304853;794.7311827956987;822.4852071005917;900.8356545961001;984.2105263157896;1072.5685785536161;997600.0
23,25.0;21.0;17.0;17.0;16.0;12.0;11.0;10.0;11.0;11.0;11.0;11.0;11.0;10.0;10.0;8.0;8.0;8.0;8.0;8.0;9.0;8.0;9.0;9.0,525.0;425.0;564.2857142857142;672.7272727272727;537.5;480.327868852459;442.10526315789457;480.50314465408815;534.7826086956522;602.0408163265304;680.7960199004974;770.2127659574467;816.2790697674418;873.5537190082641;836.2676056338028;819.6319018404906;817.663043478261;826.8292682926831;844.9115044247787;916.6666666666665;945.299145299145;1029.032258064516;1117.8117048346057
21,24.0;20.0;17.0;16.0;15.0;11.0;10.0;11.0;11.0;11.0;10.0;10.0;10.0;8.0;8.0;8.0;8.0;8.0;9.0;9.0;9.0;9.0,500.0;480.95238095238085;562.962962962963;636.3636363636363;491.76954732510296;429.0322580645161;463.75;518.3673469387754;588.3620689655172;622.3021582733813;671.0905349794241;731.8918918918919;702.9411764705883;694.5525291828794;700.5119453924913;717.3252279635258;742.8767123287671;821.9387755102043;906.9212410501191;997.7578475336318;1094.397463002114
8,25.0;21.0;18.0;17.0;17.0;15.0;15.0;15.0;14.0,525.0;509.5238095238094;600.0;780.0000000000002;796.2962962962963;890.6976744186045;1027.5229357798166;1095.2380952380952
3,27.0;21.0;22.0;21.0,350.0;833.3333333333333;1188.235294117647
3,26.0;20.0;21.0;21.0,333.33333333333337;793.3333333333333;1421.4285714285716
3,24.0;20.0;19.0;20.0,500.0;740.0;1446.1538461538462
3,26.0;20.0;21.0;22.0,333.33333333333337;793.3333333333333;1872.7272727272725
3,27.0;21.0;22.0;22.0,350.0;833.3333333333333;1492.857142857143
3,26.0;20.0;21.0;21.0,333.33333333333337;793.3333333333333;1421.4285714285716
3,27.0;21.0;21.0;21.0,350.0;666.6666666666667;1100.0
